,price,location,baths,bedrooms,Total_Area
21793,85.0,National Police Foundation O-9,4,4,1361.255
21794,105.0,Soan Garden,4,4,1361.255
21795,105.0,Soan Garden,4,4,1361.255
21796,155.0,National Police Foundation O-9,5,5,2722.51
21797,85.0,National Police Foundation O-9,3,3,1361.255
21798,425.0,Bahria Town,6,5,5445.0
21799,280.0,Bahria Town,5,4,2722.51
21800,280.0,Bahria Town,5,4,2722.51
21801,280.0,Bahria Town,5,4,2722.51
21802,280.0,Bahria Town,5,4,2722.51
21820,280.0,Bahria Town,5,4,2722.51
21821,280.0,Bahria Town,5,4,2722.51
21822,280.0,Bahria Town,5,4,2722.51
21823,280.0,Bahria Town,5,4,2722.51
21824,280.0,Bahria Town,5,4,2722.51
21825,280.0,Bahria Town,5,4,2722.51
21826,280.0,Bahria Town,5,4,2722.51
21827,280.0,Bahria Town,5,4,2722.51
21828,280.0,Bahria Town,5,4,2722.51
21829,280.0,Bahria Town,5,4,2722.51
21830,280.0,Bahria Town,5,4,2722.51
21831,280.0,Bahria Town,5,4,2722.51
21832,280.0,Bahria Town,5,4,2722.51
21833,280.0,Bahria Town,5,4,2722.51
21834,280.0,Bahria Town,5,4,2722.51
21835,65.0,DHA Defence,3,3,2178.008
21836,48.0,Lehtarar Road,3,2,1361.255
21837,155.0,FECHS,5,5,2450.259
21855,280.0,Bahria Town,5,4,2722.51
21856,280.0,Bahria Town,5,4,2722.51
21857,280.0,Bahria Town,5,4,2722.51
21858,280.0,Bahria Town,5,4,2722.51
21859,280.0,Bahria Town,5,4,2722.51
21860,140.0,Bahria Town,3,3,1361.255
21861,140.0,Bahria Town,3,3,1361.255
21862,140.0,Bahria Town,3,3,1361.255
21863,140.0,Bahria Town,3,3,1361.255
21864,140.0,Bahria Town,3,3,1361.255
21865,140.0,Bahria Town,3,3,1361.255
21866,140.0,Bahria Town,3,3,1361.255
21867,140.0,Bahria Town,3,3,1361.255
21868,140.0,Bahria Town,3,3,1361.255
21869,140.0,Bahria Town,3,3,1361.255
21870,190.0,D-12,4,4,1089.004
21871,160.0,National Police Foundation,5,5,2722.51
21872,150.0,Pakistan Town,5,5,2722.51
21873,170.0,PWD Housing Scheme,5,5,2722.51
21874,170.0,G-13,4,4,11979.043999999998
21876,650.0,E-11,7,7,5445.0
21877,160.0,G-13,4,4,11979.043999999998
21885,76.0,DHA Defence,3,3,2178.008
21886,150.0,G-13,4,4,2178.008
21887,250.0,G-13,6,5,2178.008
21888,265.0,G-13,5,5,2178.008
21889,365.0,G-11,5,5,2178.008
21890,170.0,G-13,5,3,11979.043999999998
21891,350.0,G-13,6,6,29675.359
21893,60.0,Bani Gala,2,2,2178.008
21894,78.0,Bani Gala,4,4,1361.255
21895,75.0,Bani Gala,4,4,1361.255
21896,75.0,Bani Gala,4,4,1361.255
21897,355.0,Bani Gala,4,4,5445.0
21898,350.0,Bani Gala,4,4,5445.0
21928,350.0,Bani Gala,4,4,5445.0
21929,345.0,Bani Gala,5,5,5445.0
21930,700.0,Bani Gala,8,7,16335.0
21931,355.0,Bani Gala,5,5,5445.0
21932,360.0,Bani Gala,5,5,5445.0
21933,375.0,E-11,6,6,1905.757
21934,100.0,B-17,4,3,1361.255
21939,265.0,Bahria Town,5,4,2722.51
21966,35.0,DHA Defence,2,2,1361.255
21967,445.0,DHA Defence,7,6,5445.0
21968,100.0,I-14,3,2,15246.056
21971,180.0,National Police Foundation O-9,5,4,5445.0
21983,65.0,Bani Gala,2,2,2722.51
21984,36.0,DHA Defence,2,2,1361.255
21985,2000.0,F-6,6,6,10890.0
22015,28.0,DHA Defence,2,2,1361.255
22017,23.0,DHA Defence,2,2,1361.255
22018,74.0,DHA Defence,4,3,2178.008
22022,4.0,G-6,7,6,196020.0
22024,45.0,DHA Defence,4,3,2178.008
22025,62.0,DHA Defence,4,3,2178.008
22026,1800.0,F-7,6,6,114345.0
22027,725.0,F-6,6,5,53088.94499999999
22059,400.0,F-11,7,6,2450.259
22061,450.0,Bahria Town,6,5,5445.0
22075,205.0,G-14,3,3,1905.757
22077,1350.0,F-8,7,5,5445.0
22078,165.0,G-13,5,4,11979.043999999998
22079,160.0,G-13,5,5,11979.043999999998
22080,475.0,G-13,6,6,38659.642
22081,145.0,G-14,4,4,11979.043999999998
22087,36.0,DHA Defence,2,2,1361.255
22100,28.0,DHA Defence,2,2,1361.255
22101,23.0,DHA Defence,2,2,1361.255
22102,375.0,B-17,10,8,5445.0
22103,75.0,DHA Defence,4,3,2178.008
22104,62.0,DHA Defence,4,3,2178.008
22105,45.0,DHA Defence,4,3,2178.008
22108,66.5,DHA Defence,4,3,2178.008
22125,66.5,DHA Defence,4,3,2178.008
22126,66.5,DHA Defence,4,3,2178.008
22127,66.5,DHA Defence,4,3,2178.008
22128,35.0,DHA Defence,2,2,1361.255
22129,35.0,DHA Defence,2,2,1361.255
22161,35.0,DHA Defence,2,2,1361.255
22162,30.0,DHA Defence,2,2,1361.255
22163,23.5,DHA Defence,2,2,1361.255
22164,35.5,DHA Defence,2,2,1361.255
22165,30.0,DHA Defence,2,2,1361.255
22166,23.5,DHA Defence,2,2,1361.255
22167,250.0,G-9,5,4,37026.136
22168,43.5,DHA Defence,4,3,2178.008
22169,43.5,DHA Defence,4,3,2178.008
22170,43.5,DHA Defence,4,3,2178.008
22171,43.5,DHA Defence,4,3,2178.008
22172,43.5,DHA Defence,4,3,2178.008
22173,58.0,DHA Defence,4,3,2178.008
22174,58.0,DHA Defence,4,3,2178.008
22203,67.0,DHA Defence,4,3,2178.008
22204,44.5,DHA Defence,3,3,2178.008
22237,62.0,DHA Defence,4,3,2178.008
22238,32.0,DHA Defence,2,2,1361.255
22239,70.0,DHA Defence,4,3,2178.008
22240,29.5,DHA Defence,2,2,1361.255
22241,275.0,DHA Defence,6,5,3267.012
22242,23.0,DHA Defence,2,2,1361.255
22243,300.0,G-11,4,4,2178.008
22244,330.0,G-8,4,4,2450.259
22245,550.0,DHA Defence,6,5,5445.0
22246,145.0,Green Avenue,4,4,1361.255
22247,150.0,G-13,4,4,11979.043999999998
22248,175.0,G-13,5,5,11979.043999999998
22266,1075.0,F-7,5,5,5445.0
22267,295.0,DHA Defence,6,5,2722.51
22269,128.0,Soan Garden,5,7,1633.506
22273,450.0,DHA Defence,8,6,5445.0
22281,150.0,F-10,4,6,1089.004
22282,260.0,G-13,7,5,2178.008
22283,660.0,I-8,4,4,5445.0
22284,650.0,I-8,6,6,3811.514
22286,145.0,PWD Housing Scheme,6,5,2722.51
22287,185.0,Pakistan Town,6,6,2722.51
22288,130.0,Pakistan Town,3,3,2722.51
22294,75.0,Pakistan Town,2,2,1361.255
22295,100.0,Pakistan Town,2,2,2178.008
22296,250.0,Pakistan Town,6,6,5445.0
22297,175.0,PWD Housing Scheme,5,5,25319.343
22298,85.0,Korang Town,2,2,1633.506
22299,130.0,Pakistan Town,4,4,2722.51
22300,155.0,National Police Foundation,6,6,2722.51
22301,80.0,Korang Town,2,2,1361.255
22302,180.0,Korang Town,5,5,32942.371
22304,135.0,Korang Town,5,5,1633.506
22305,85.0,Korang Town,2,2,1633.506
22306,155.0,Green Avenue,5,5,1633.506
22307,50.0,Ghauri Town,3,2,1361.255
22326,230.0,CBR Town,6,6,3267.012
22327,230.0,CBR Town,6,6,3267.012
22328,245.0,CBR Town,6,6,3267.012
22329,140.0,CBR Town,4,4,1905.757
22330,125.0,CBR Town,4,4,1905.757
22331,140.0,CBR Town,4,4,1905.757
22332,140.0,CBR Town,4,4,1905.757
22333,140.0,CBR Town,4,4,1905.757
22334,140.0,CBR Town,4,4,1905.757
22335,155.0,CBR Town,4,4,1905.757
22336,100.0,FECHS,5,4,1905.757
22337,160.0,I-10,3,4,1633.506
22338,135.0,I-10,3,4,1633.506
22339,150.0,I-10,2,2,1633.506
22356,32.0,DHA Defence,2,2,1361.255
22357,165.0,G-13,4,4,1089.004
22387,190.0,F-17,8,6,29675.359
22388,47.0,H-13,2,2,9528.785
22389,12.0,Soan Garden,4,4,1361.255
22430,75.0,DHA Defence,4,3,2178.008
22431,62.0,DHA Defence,4,3,2178.008
22432,350.0,PWD Housing Scheme,6,6,5445.0
22451,100.0,F-7,8,7,10890.0
22452,3000.0,F-7,8,7,10890.0
22453,325.0,DHA Defence,5,5,5445.0
22473,260.0,G-13,7,5,2178.008
22474,295.0,E-12,4,4,18240.817
22475,165.0,G-13,5,4,11979.043999999998
22476,167.0,G-13,5,4,11979.043999999998
22477,230.0,Bani Gala,7,6,4083.765
22478,155.0,G-13,5,4,11979.043999999998
22495,160.0,G-13,5,4,11979.043999999998
22496,285.0,G-13,6,5,2178.008
22497,140.0,Bani Gala,5,5,2178.008
22499,165.0,G-13,5,4,11979.043999999998
22500,150.0,G-13,5,4,11979.043999999998
22505,152.0,G-13,5,4,11979.043999999998
22506,45.0,DHA Defence,4,3,2178.008
22507,465.0,G-13,9,7,38659.642
22508,36.0,DHA Defence,2,2,1361.255
22509,150.0,G-13,5,4,11979.043999999998
22510,160.0,G-13,5,4,11979.043999999998
22511,28.0,DHA Defence,2,2,1361.255
22513,23.0,DHA Defence,2,2,1361.255
22514,250.0,G-13,6,5,2178.008
22515,170.0,G-13,5,4,11979.043999999998
22516,260.0,G-13,6,5,2178.008
22517,170.0,G-13,5,4,11979.043999999998
22518,550.0,DHA Defence,7,6,5445.0
22519,575.0,DHA Defence,7,6,5445.0
22520,475.0,DHA Defence,6,5,5445.0
22521,450.0,DHA Defence,6,5,5445.0
22522,480.0,DHA Defence,7,6,5445.0
22523,450.0,DHA Defence,7,6,5445.0
22524,240.0,DHA Defence,5,4,5445.0
22525,285.0,DHA Defence,5,4,2722.51
22526,450.0,F-11,5,5,25319.343
